"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"< 1 year"	"0"	"2010"	"2010"	3951495
	"< 1 year"	"0"	"2011"	"2011"	3963264
	"< 1 year"	"0"	"2012"	"2012"	3926731
	"< 1 year"	"0"	"2013"	"2013"	3931411
	"< 1 year"	"0"	"2014"	"2014"	3954973
	"< 1 year"	"0"	"2015"	"2015"	3984144
	"< 1 year"	"0"	"2016"	"2016"	3963268
	"< 1 year"	"0"	"2017"	"2017"	3882437
	"< 1 year"	"0"	"2018"	"2018"	3826908
	"< 1 year"	"0"	"2019"	"2019"	3762227
	"< 1 year"	"0"	"2020"	"2020"	3735010
"Total"	"< 1 year"	"0"			42881868
	"1 year"	"1"	"2010"	"2010"	3957904
	"1 year"	"1"	"2011"	"2011"	3966768
	"1 year"	"1"	"2012"	"2012"	3978210
	"1 year"	"1"	"2013"	"2013"	3943348
	"1 year"	"1"	"2014"	"2014"	3949559
	"1 year"	"1"	"2015"	"2015"	3973828
	"1 year"	"1"	"2016"	"2016"	4003586
	"1 year"	"1"	"2017"	"2017"	3981864
	"1 year"	"1"	"2018"	"2018"	3897917
	"1 year"	"1"	"2019"	"2019"	3842257
	"1 year"	"1"	"2020"	"2020"	3773884
"Total"	"1 year"	"1"			43269125
	"2 years"	"2"	"2010"	"2010"	4090799
	"2 years"	"2"	"2011"	"2011"	3971498
	"2 years"	"2"	"2012"	"2012"	3980139
	"2 years"	"2"	"2013"	"2013"	3993047
	"2 years"	"2"	"2014"	"2014"	3960015
	"2 years"	"2"	"2015"	"2015"	3967672
	"2 years"	"2"	"2016"	"2016"	3992657
	"2 years"	"2"	"2017"	"2017"	4021261
	"2 years"	"2"	"2018"	"2018"	3996742
	"2 years"	"2"	"2019"	"2019"	3911822
	"2 years"	"2"	"2020"	"2020"	3853025
"Total"	"2 years"	"2"			43738677
	"3 years"	"3"	"2010"	"2010"	4111869
	"3 years"	"3"	"2011"	"2011"	4102429
	"3 years"	"3"	"2012"	"2012"	3983007
	"3 years"	"3"	"2013"	"2013"	3992839
	"3 years"	"3"	"2014"	"2014"	4007852
	"3 years"	"3"	"2015"	"2015"	3976277
	"3 years"	"3"	"2016"	"2016"	3984985
	"3 years"	"3"	"2017"	"2017"	4009060
	"3 years"	"3"	"2018"	"2018"	4035053
	"3 years"	"3"	"2019"	"2019"	4009037
	"3 years"	"3"	"2020"	"2020"	3921526
"Total"	"3 years"	"3"			44133934
	"4 years"	"4"	"2010"	"2010"	4077511
	"4 years"	"4"	"2011"	"2011"	4122252
	"4 years"	"4"	"2012"	"2012"	4112849
	"4 years"	"4"	"2013"	"2013"	3994539
	"4 years"	"4"	"2014"	"2014"	4006407
	"4 years"	"4"	"2015"	"2015"	4022785
	"4 years"	"4"	"2016"	"2016"	3992241
	"4 years"	"4"	"2017"	"2017"	4000394
	"4 years"	"4"	"2018"	"2018"	4021907
	"4 years"	"4"	"2019"	"2019"	4045996
	"4 years"	"4"	"2020"	"2020"	4017847
"Total"	"4 years"	"4"			44414728
	"5 years"	"5"	"2010"	"2010"	4064653
	"5 years"	"5"	"2011"	"2011"	4087770
	"5 years"	"5"	"2012"	"2012"	4132349
	"5 years"	"5"	"2013"	"2013"	4123745
	"5 years"	"5"	"2014"	"2014"	4007123
	"5 years"	"5"	"2015"	"2015"	4020489
	"5 years"	"5"	"2016"	"2016"	4038022
	"5 years"	"5"	"2017"	"2017"	4007233
	"5 years"	"5"	"2018"	"2018"	4012789
	"5 years"	"5"	"2019"	"2019"	4032231
	"5 years"	"5"	"2020"	"2020"	4054336
"Total"	"5 years"	"5"			44580740
	"6 years"	"6"	"2010"	"2010"	4073031
	"6 years"	"6"	"2011"	"2011"	4075153
	"6 years"	"6"	"2012"	"2012"	4097860
	"6 years"	"6"	"2013"	"2013"	4142923
	"6 years"	"6"	"2014"	"2014"	4135738
	"6 years"	"6"	"2015"	"2015"	4020428
	"6 years"	"6"	"2016"	"2016"	4034969
	"6 years"	"6"	"2017"	"2017"	4052428
	"6 years"	"6"	"2018"	"2018"	4019106
	"6 years"	"6"	"2019"	"2019"	4022432
	"6 years"	"6"	"2020"	"2020"	4040169
"Total"	"6 years"	"6"			44714237
	"7 years"	"7"	"2010"	"2010"	4043100
	"7 years"	"7"	"2011"	"2011"	4083399
	"7 years"	"7"	"2012"	"2012"	4085255
	"7 years"	"7"	"2013"	"2013"	4108453
	"7 years"	"7"	"2014"	"2014"	4154947
	"7 years"	"7"	"2015"	"2015"	4148711
	"7 years"	"7"	"2016"	"2016"	4034355
	"7 years"	"7"	"2017"	"2017"	4048430
	"7 years"	"7"	"2018"	"2018"	4063647
	"7 years"	"7"	"2019"	"2019"	4027876
	"7 years"	"7"	"2020"	"2020"	4029753
"Total"	"7 years"	"7"			44827926
	"8 years"	"8"	"2010"	"2010"	4025624
	"8 years"	"8"	"2011"	"2011"	4053313
	"8 years"	"8"	"2012"	"2012"	4093553
	"8 years"	"8"	"2013"	"2013"	4096033
	"8 years"	"8"	"2014"	"2014"	4120476
	"8 years"	"8"	"2015"	"2015"	4167765
	"8 years"	"8"	"2016"	"2016"	4162142
	"8 years"	"8"	"2017"	"2017"	4047130
	"8 years"	"8"	"2018"	"2018"	4059209
	"8 years"	"8"	"2019"	"2019"	4071894
	"8 years"	"8"	"2020"	"2020"	4034785
"Total"	"8 years"	"8"			44931924
	"9 years"	"9"	"2010"	"2010"	4125413
	"9 years"	"9"	"2011"	"2011"	4035854
	"9 years"	"9"	"2012"	"2012"	4063662
	"9 years"	"9"	"2013"	"2013"	4104437
	"9 years"	"9"	"2014"	"2014"	4107986
	"9 years"	"9"	"2015"	"2015"	4133426
	"9 years"	"9"	"2016"	"2016"	4181069
	"9 years"	"9"	"2017"	"2017"	4175085
	"9 years"	"9"	"2018"	"2018"	4058207
	"9 years"	"9"	"2019"	"2019"	4067320
	"9 years"	"9"	"2020"	"2020"	4078668
"Total"	"9 years"	"9"			45131127
	"10 years"	"10"	"2010"	"2010"	4187075
	"10 years"	"10"	"2011"	"2011"	4135768
	"10 years"	"10"	"2012"	"2012"	4046381
	"10 years"	"10"	"2013"	"2013"	4074286
	"10 years"	"10"	"2014"	"2014"	4116331
	"10 years"	"10"	"2015"	"2015"	4121033
	"10 years"	"10"	"2016"	"2016"	4147144
	"10 years"	"10"	"2017"	"2017"	4194214
	"10 years"	"10"	"2018"	"2018"	4186406
	"10 years"	"10"	"2019"	"2019"	4066272
	"10 years"	"10"	"2020"	"2020"	4074173
"Total"	"10 years"	"10"			45349083
	"11 years"	"11"	"2010"	"2010"	4115507
	"11 years"	"11"	"2011"	"2011"	4197598
	"11 years"	"11"	"2012"	"2012"	4146575
	"11 years"	"11"	"2013"	"2013"	4057122
	"11 years"	"11"	"2014"	"2014"	4086146
	"11 years"	"11"	"2015"	"2015"	4128897
	"11 years"	"11"	"2016"	"2016"	4134412
	"11 years"	"11"	"2017"	"2017"	4159828
	"11 years"	"11"	"2018"	"2018"	4205105
	"11 years"	"11"	"2019"	"2019"	4194335
	"11 years"	"11"	"2020"	"2020"	4072994
"Total"	"11 years"	"11"			45498519
	"12 years"	"12"	"2010"	"2010"	4113297
	"12 years"	"12"	"2011"	"2011"	4126187
