"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"Jan., 2018"	"2018/01"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"55-64 years"	"55-64"	12	Not Applicable	Not Applicable
	"2018"	"2018"	"Jan., 2018"	"2018/01"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"65-74 years"	"65-74"	11	Not Applicable	Not Applicable
	"2018"	"2018"	"Jan., 2018"	"2018/01"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"75-84 years"	"75-84"	11	Not Applicable	Not Applicable
	"2018"	"2018"	"Jan., 2018"	"2018/01"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"85+ years"	"85+"	13	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"Jan., 2018"	"2018/01"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"			58	Not Applicable	Not Applicable
	"2018"	"2018"	"Jan., 2018"	"2018/01"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"45-54 years"	"45-54"	12	Not Applicable	Not Applicable
	"2018"	"2018"	"Jan., 2018"	"2018/01"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"55-64 years"	"55-64"	24	Not Applicable	Not Applicable
	"2018"	"2018"	"Jan., 2018"	"2018/01"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"65-74 years"	"65-74"	17	Not Applicable	Not Applicable
	"2018"	"2018"	"Jan., 2018"	"2018/01"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"75-84 years"	"75-84"	31	Not Applicable	Not Applicable
	"2018"	"2018"	"Jan., 2018"	"2018/01"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"85+ years"	"85+"	19	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"Jan., 2018"	"2018/01"	"Pneumonia due to Streptococcus pneumoniae"	"J13"			108	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"Jan., 2018"	"2018/01"					166	Not Applicable	Not Applicable
	"2018"	"2018"	"Feb., 2018"	"2018/02"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"85+ years"	"85+"	11	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"Feb., 2018"	"2018/02"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"			34	Not Applicable	Not Applicable
	"2018"	"2018"	"Feb., 2018"	"2018/02"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"55-64 years"	"55-64"	12	Not Applicable	Not Applicable
	"2018"	"2018"	"Feb., 2018"	"2018/02"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"65-74 years"	"65-74"	12	Not Applicable	Not Applicable
	"2018"	"2018"	"Feb., 2018"	"2018/02"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"75-84 years"	"75-84"	19	Not Applicable	Not Applicable
	"2018"	"2018"	"Feb., 2018"	"2018/02"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"85+ years"	"85+"	17	Not Applicable	Not Applicable
"Total"	"2018"	"2018"	"Feb., 2018"	"2018/02"	"Pneumonia due to Streptococcus pneumoniae"	"J13"			74	Not Applicable	Not Applicable
